draw_date,weekday,number_1,number_2,number_3,number_4,number_5,jackpot_text,jackpot_amount,rule_version,source_url
1992-02-04,Tuesday,5,8,10,30,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-06,Thursday,2,9,12,18,21,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-07,Friday,1,6,17,30,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-11,Tuesday,9,10,13,14,23,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-13,Thursday,3,15,30,34,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-14,Friday,4,8,18,23,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-18,Tuesday,1,9,13,23,30,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-20,Thursday,6,16,17,37,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-21,Friday,3,11,12,18,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-25,Tuesday,10,11,17,24,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-27,Thursday,7,18,22,26,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-02-28,Friday,9,10,31,34,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-03,Tuesday,13,18,25,27,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-05,Thursday,2,7,12,15,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-06,Friday,1,9,22,23,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-10,Tuesday,12,15,23,25,27,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-12,Thursday,3,13,15,17,25,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-13,Friday,1,19,29,35,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-17,Tuesday,1,16,29,33,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-19,Thursday,5,18,27,32,37,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-20,Friday,2,20,24,27,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-24,Tuesday,5,21,33,36,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-26,Thursday,6,33,34,38,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-27,Friday,8,14,21,29,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-03-31,Tuesday,2,5,15,29,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-02,Thursday,4,9,10,19,21,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-03,Friday,6,9,16,34,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-07,Tuesday,17,25,26,31,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-09,Thursday,8,19,30,34,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-10,Friday,1,5,24,25,30,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-14,Tuesday,3,8,11,20,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-16,Thursday,1,2,10,11,20,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-17,Friday,14,16,25,26,33,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-21,Tuesday,2,8,11,30,35,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-23,Thursday,3,10,20,24,25,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-24,Friday,10,26,31,32,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-28,Tuesday,6,13,18,33,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-04-30,Thursday,22,23,29,31,36,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-01,Friday,13,19,21,22,24,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-05,Tuesday,3,14,24,32,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-07,Thursday,13,16,18,31,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-08,Friday,4,16,32,33,34,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-12,Tuesday,7,26,27,35,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-14,Thursday,7,18,25,27,32,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-15,Friday,13,24,35,37,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-19,Tuesday,5,6,18,32,38,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
1992-05-21,Thursday,1,8,28,29,39,To Be Cacluculated,,FANTASY5_5_OF_39,https://www.lotterycorner.com/ca/fantasy-5/1992
